Entry ID,Lemma ID,Code (survey),Batch (survey),List (survey),Item (survey),English Word Frequency,Frequency,Frequency SD,Frequency Z,Frequency N,Sign Unknown,Frequency (Native),Frequency SD (Native),Frequency Z (Native),Frequency N (Native),Sign Unknown (Native) (proportion),Frequency (Nonnative),Frequency SD (Nonnative),Frequency N (Nonnative),Frequency Z (Nonnative),Sign Unknown (Nonnative) (proportion),Dominant Translation,Dominant Translation Agreement (proportion),Dominant Translation Agreement (Native) (proportion),Dominant Translation Agreement (Nonnative) (proportion),Nondominant Translations,Non-Signer Iconicity,Non-Signer Iconicity SD,Non-Signer Iconicity Z,Non-Signer Iconicity N,Non-Signer Iconicity ID,Deaf Signer Iconicity,Deaf Signer Iconicity SD,Deaf Signer Iconicity N,Deaf Signer Iconicity Z,Deaf Signer Iconicity (Native),Deaf Signer Iconicity SD (Native),Deaf Signer Iconicity Z (Native),Deaf Signer Iconicity N (Native),Consistency of Guesses,Accuracy of Guesses (proportion),Transparency,Transparency SD,Transparency Z,Lexical Class,Initialized Sign,Fingerspelled Loan Sign,Compound,Number Of Morphemes,Sign Onset,Sign Offset,Sign Duration,Video Duration,Handshape,Selected Fingers,Flexion,Flexion Change,Spread,Spread Change,Thumb Position,Thumb Contact,Sign Type,Path Movement,Repeated Movement,Major Location,Minor Location,Second Minor Location,Contact,Nondominant Handshape,Wrist Twist,Handshape Morpheme 2,Selected Fingers Morpheme 2,Flexion Morpheme 2,Flexion Change Morpheme 2,Spread Morpheme 2,Spread Change Morpheme 2,Thumb Position Morpheme 2,Thumb Contact Morpheme 2,Sign Type Morpheme 2,Movement Morpheme 2,Repeated Movement Morpheme 2,Major Location Morpheme 2,Minor Location Morpheme 2,Second Minor Location Morpheme 2,Contact Morpheme 2,Nondominant Handshape Morpheme 2,Wrist Twist Morpheme 2,Handshape Morpheme 3,Selected Fingers Morpheme 3,Flexion Morpheme 3,Flexion Change Morpheme 3,Spread Morpheme 3,Spread Change Morpheme 3,Thumb Position Morpheme 3,Thumb Contact Morpheme 3,Signtype Morpheme 3,Movement Morpheme 3,Repeated Movement Morpheme 3,Major Location Morpheme 3,Minor Location Morpheme 3,Second Minor Location Morpheme 3,Contact Morpheme 3,Nondominant Handshape Morpheme 3,Wrist Twist Morpheme 3,Handshape Morpheme 4,Selected Fingers Morpheme 4,Flexion Morpheme 4,Flexion Change Morpheme 4,Spread Morpheme 4,Spread Change Morpheme 4,Thumb Position Morpheme 4,Thumb Contact Morpheme 4,Sign Type Morpheme 4,Movement Morpheme 4,Repeated Movement Morpheme 4,Major Location Morpheme 4,Minor Location Morpheme 4,Second Minor Location Morpheme 4,Contact Morpheme 4,Nondominant Handshape Morpheme 4,Wrist Twist Morpheme 4,Handshape Morpheme 5,Selected Fingers Morpheme 5,Flexion Morpheme 5,Flexion Change Morpheme 5,Spread Morpheme 5,Spread Change Morpheme 5,Thumb Position Morpheme 5,Thumb Contact Morpheme 5,Sign Type Morpheme 5,Movement Morpheme 5,Repeated Movement Morpheme 5,Major Location Morpheme 5,Minor Location Morpheme 5,Second Minor Location Morpheme 5,Contact Morpheme 5,Nondominant Handshape Morpheme 5,Wrist Twist Morpheme 5,Handshape Morpheme 6,Selected Fingers Morpheme 6,Flexion Morpheme 6,Flexion Change Morpheme 6,Spread Morpheme 6,Spread Change Morpheme 6,Thumb Position Morpheme 6,Thumb Contact Morpheme 6,Sign Type Morpheme 6,Movement Morpheme 6,Repeated Movement Morpheme 6,Major Location Morpheme 6,Minor Location Morpheme 6,Second Minor Location Morpheme 6,Contact Morpheme 6,Nondominant Handshape Morpheme 6,Wrist Twist Morpheme 6,Sign Type Frequency,Major Location Frequency,Minor Location Frequency,Second Minor Location Frequency,Movement Frequency,Selected Fingers Frequency,Flexion Frequency,Flexion Change Frequency,Repeated Movement Frequency,Contact Frequency,Spread Frequency,Spread Change Frequency,Thumb Contact Frequency,Thumb Position Frequency,Ulnar Rotation Frequency,Neighborhood Density,Parameter Neighborhood Density,Phonotactic Probability,Phonological Complexity,SignBank Semantic Field,SignBank Reference ID,In CDI,CDI Semantic Category,Age Of Acquisition,Age Of Acquisition (Empirical),Handshape Image
awake,awake,G_01_078,G,1,78,3.134,5.259,1.43,0.536,27,0.0,5.333,1.371,0.604,12,0.0,5.2,1.521,15,0.481,0.0,awake,0.852,0.917,0.8,surprise,4.3,1.841,0.314,30.0,,,,,,,,,,,,,,,Adjective,0,0,0,1,567,1168,601,1902,g,i,Curved,1.0,,,Open,1.0,Symmetrical Or Alternating,Straight,0,Head,Eye,Head Away,1,f,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.266,0.016,0.178,0.457,0.261,0.225,0.209,0.554,0.622,0.0,0.0,0.316,0.657,0.836,2,364,-0.11,1.0,State,2354.0,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/g.png"" />"
backyard,backyard,F_03_003,F,3,3,2.568,3.37,1.757,-0.487,27,0.0,3.5,1.605,-0.433,14,0.0,3.231,1.964,13,-0.545,0.0,,,,,,3.333,2.231,-0.272,33.0,,,,,,,,,,,,,,,Noun,0,0,1,2,367,1568,1201,2135,a,t,,,,,Open,,One Handed,Straight,0,Body,Body Away,Body Away,0,,0,5,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,One Handed,Circular,,Neutral,Neutral,Neutral,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.094,0.016,0.045,0.457,0.057,0.0,0.0,0.554,0.378,0.0,0.0,0.0,0.657,0.836,4,192,-0.74,2.0,,,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/a.png"" />"
bad,bad,B_02_082,B,2,82,4.444,5.5,1.285,0.563,24,0.0,5.571,1.342,0.543,14,0.0,5.4,1.265,11,0.592,0.0,,,,,,1.567,0.858,-0.571,30.0,,1.39,0.8,31.0,-0.79,1.41,0.85,-0.75,22.0,2.43,0.0,4.0,1.53,-0.06,Adjective,0,0,0,1,434,801,367,1235,open_b,imrp,Fully Open,0.0,0.0,0.0,Open,0.0,One Handed,Curved,0,Head,Chin,Head Away,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.037,0.178,0.233,0.449,0.409,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.164,1,202,0.357,2.0,Attribute,29.0,Yes,Descriptive Signs,35.0,28.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
balloon,balloon,A_02_086,A,2,86,2.646,2.852,1.537,-0.545,27,0.0,2.846,1.676,-0.52,13,0.0,2.857,1.46,14,-0.568,0.0,,,,,,4.967,1.712,0.891,30.0,,4.9,1.47,31.0,0.81,4.79,1.55,0.78,19.0,,,,,,Noun,0,0,0,1,834,1568,734,2970,s,imrp,Fully Closed,1.0,,1.0,Closed,1.0,Symmetrical Or Alternating,Straight,0,Head,Head Away,Head Away,1,s,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.266,0.066,0.178,0.457,0.449,0.067,0.209,0.554,0.622,0.0,0.122,0.316,0.343,0.836,2,388,-0.202,1.0,-,2088.0,Yes,Toys,27.0,19.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/s.png"" />"
bath,bath,B_01_019,B,1,19,3.201,4.92,1.754,0.161,25,0.0,5.143,2.143,0.287,14,0.0,4.636,1.12,11,0.001,0.0,,,,,,2.0,1.33,-0.433,27.0,,3.81,1.54,31.0,0.46,3.55,1.3,0.37,22.0,2.73,0.0,3.95,1.58,0.1,Noun,0,0,0,1,434,1034,601,1668,a,t,,,,,Open,,Symmetrical Or Alternating,Straight,1,Body,Torso Top,Torso Top,1,a,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.094,0.032,0.011,0.457,0.057,0.0,0.0,0.446,0.622,0.0,0.0,0.0,0.657,0.836,9,192,-0.77,2.0,Event,31.0,Yes,Furniture and Rooms,22.0,15.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/a.png"" />"
because,because,B_01_049,B,1,49,4.737,4.24,1.535,-0.354,25,0.0,3.929,1.492,-0.473,14,0.0,4.636,1.567,11,-0.203,0.0,,,,,,1.296,0.724,-0.761,27.0,,2.19,1.56,31.0,-0.42,1.96,1.33,-0.5,22.0,2.35,0.0,3.5,1.82,-0.03,Minor,0,0,0,1,467,801,334,1568,open_b,imrp,Fully Open,1.0,0.0,0.0,Open,0.0,One Handed,Curved,0,Head,Forehead,Head Away,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.039,0.178,0.233,0.449,0.409,0.209,0.554,0.378,0.602,0.878,0.684,0.657,0.836,1,202,0.263,2.0,None,34.0,Yes,Connecting Signs,44.0,31.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
bed,bed,A_03_037,A,3,37,3.98,6.12,1.301,1.121,25,0.0,6.267,1.033,1.233,15,0.0,5.9,1.663,10,0.953,0.0,,,,,,6.095,1.091,1.164,21.0,,5.42,1.59,31.0,1.05,5.68,1.6,1.22,19.0,,,,,,Noun,0,0,0,1,534,767,234,901,open_b,imrp,Fully Open,0.0,0.0,0.0,Open,0.0,One Handed,Straight,0,Head,Other,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.025,0.0,0.457,0.449,0.409,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.836,5,426,0.559,1.0,None,384.0,Yes,Furniture and Rooms,23.0,16.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
bed_2,bed_2,K_03_004,K,3,4,3.98,6.28,1.275,1.185,25,0.0,6.273,1.272,1.384,11,0.0,6.286,1.326,14,1.029,0.0,,,,,,5.962,1.371,0.902,26.0,BED,,,,,,,,,,,,,,Noun,0,0,0,1,634,1101,467,1969,open_b,imrp,Fully Open,0.0,0.0,0.0,Open,0.0,Symmetrical Or Alternating,Straight,0,Head,Other,,1,open_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.266,0.025,0.0,0.457,0.449,0.409,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.836,9,426,0.531,1.0,None,1974.0,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
bedroom,bedroom,D_01_056,D,1,56,3.273,4.444,1.695,0.176,27,0.0,4.375,1.455,0.114,16,0.0,4.545,2.067,11,0.267,0.0,,,,,,4.0,1.563,0.508,37.0,,4.04,1.15,26.0,0.46,4.0,1.28,0.47,18.0,,,,,,Noun,0,0,1,3,734,2069,1335,2936,open_b,imrp,Fully Open,0.0,0.0,0.0,Open,0.0,Symmetrical Or Alternating,None,0,Head,Other,,1,open_b,0,open_b,imrp,FullyOpen,0.0,0.0,0.0,Open,0.0,Symmetrical Or Alternating,None,,Neutral,Neutral,,0.0,open_b,0.0,flat_b,imrp,Flat,0.0,0.0,0.0,Open,0.0,Symmetrical Or Alternating,None,,Neutral,Neutral,,0.0,flat_b,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.266,0.025,0.0,0.153,0.449,0.409,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.836,4,269,0.404,0.0,Place,2403.0,Yes,Furniture and Rooms,39.0,28.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
bee_1,bee,E_03_018,E,3,18,2.723,3.4,1.714,-0.427,30,0.0,3.429,1.785,-0.446,14,0.0,3.375,1.708,16,-0.41,0.0,,,,,,1.75,0.95,-0.85,32.0,,,,,,,,,,,,,,,Noun,0,0,1,2,467,1335,868,1835,f,i,Curved,0.0,,,Open,1.0,One Handed,None,0,Head,Cheek Nose,,1,,0,closed_b,imrp,FullyOpen,0.0,0.0,0.0,Closed,0.0,One Handed,Straight,,Head,Cheek Nose,Other,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.035,0.0,0.153,0.261,0.225,0.791,0.554,0.622,0.0,0.0,0.316,0.657,0.836,3,242,-0.13,0.0,None,2102.0,Yes,Animals,30.0,31.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/f.png"" />"
bee_2,bee,J_02_101,J,2,101,2.723,3.821,1.744,-0.174,30,0.067,4.286,1.729,0.006,15,0.067,3.357,1.692,15,-0.354,0.067,bee,0.893,0.929,0.857,"confirmation, mosquito",2.08,1.498,-0.53,25.0,bee,,,,,,,,,,,,,,Noun,0,0,1,2,501,1602,1101,2102,f,i,Curved,0.0,,,Open,1.0,One Handed,None,0,Head,Cheek Nose,,1,,0,open_b,imrp,FullyOpen,0.0,0.0,0.0,Open,0.0,One Handed,Straight,,Head,Cheek Nose,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.035,0.0,0.153,0.261,0.225,0.791,0.554,0.622,0.0,0.0,0.316,0.657,0.836,3,242,-0.13,0.0,None,396.0,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/f.png"" />"
